id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Body:wake up.V	yes	To stop sleeping.	18526	v	1602	4-63	aufwachen::V	665
Body:wake up.V	no	wake up (become awake)						
Body:walk.V	no	walk						701
Body:wart.N	yes	Typically small, rough, and hard growths that are similar in color to the rest of the skin.			2665			
Body:weak.A	yes	Lacking in force or ability.	2324397	a	1601	4-82	schwach::A	
Body:wing.N	yes	The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.	2151625	n	1257	4-392	Flügel::N	595
Body:womb.N	yes	The major female reproductive organ of most mammals, including humans. It is a large muscle enveloping the phoetus during pregnancy.	5519085	n	804	4-47		
Body:wound.N	yes	A type of injury in which in skin or tisue is torn, cut,  punctured or otherwise hurt.	14183065	n	1109	4-85	Wunde::N	632
Body:wrinkle.N	yes	A fold, ridge or crease in the skin.			2294			
Body:wrist.N	yes	The flexible and narrower connection between the forearm and the hand.	5584928	n	799	4-321		533
Body:yawn.V	yes	To open the mouth widely and take a long, deep breath because of tiredness or boredom.	7328	v	1028	4-52		
Building:adobe.N	yes	An unburnt brick dried in the sun made of clay and dried grasses.	2681392	n	901	7-64		
Building:arch.N	yes	An arch-shaped arrangement of trapezoidal stones, designed to redistribute downward force outward.	2733524	n	876	7-58		
Building:area under house.N	yes	The area under a house.			2632			
Building:attic.N	no	attic, garret						1531
Building:bar.N	yes	Place where alcoholic drinks are served.						1573
Building:beam.N	yes	A structural member loaded on its narrow face, and typically used in a horizontal or sloping position to span between bearing points.	2815950	n	1132	7-55		
Building:block of flats.N	no	block of flats, apartment building						1555
Building:board.N	yes	A piece of wood or similar material that has been sawn into a regular shape, usually in preparation for using it in some sort of construction.	15101854	n	1227	7-57	Brett::N	1593
Building:bookstore.N	no	bookstore						1582
Building:brick.N	yes	A building material usually made from clay, molded as a rectangular block, and baked or burned in a kiln.	2897820	n	1006	7-62		1594
Building:build.V	yes	To form by combining materials or parts.	1654628	v	1840	9-44	bauen::V	3715
Building:building.N	yes	A solid construction comprised of walls and a roof.			3396			1501
Building:camp.N	yes	Tents, cabins, etc., used as temporary lodgings by a group of travellers, holiday-makers, Scouts, Gypsies, etc.	2945161	n	1105	7-65		1557
Building:ceiling.N	yes	ceiling						1511
Building:cellar.N	yes	cellar, basement						1532
Building:chimney.N	yes	A vertical structure of brick, masonry, or steel that carries smoke or steam away from a fire, engine, etc.	3017428	n	1305	7-33		1521
Building:church.N	yes	Building or institution of public worship in Christianity.						1561
Building:closet.N	no	closet						1540
Building:column.N	yes	An upright supporting beam.			2045			
Building:cookhouse.N	yes	A small house where cooking takes place; a kitchen house.	3101375	n	334	7-17		
Building:corrugated iron.N	yes	An iron sheet building material, usually galvanised, which has been pressed into corrugations.				9-99906		
Building:courtyard.N	yes	An area wholly or partly surrounded by walls or buildings.			4			
Building:dam.N	yes	A wall to stop or control the flow of a stream or river.						1592
Building:deck.N	yes	The deck, a raised flat surface that can be walked on.				9-99907		
Building:dining room.N	no	dining room						1536
Building:door.N	yes	An opening, or passage in a fence or wall; the entrance through which you enter or leave a room or building.	3427296	n	1567	7-22	Tür::N	1515
Building:doorpost.N	yes	The frame that supports a door.	3222857	n	80	7-221		
Building:doorsill.N	yes	A horizontal member of wood, stone, etc, forming the bottom of a door frame on which the threshold is put on.			2185			
Building:elevator.N	no	elevator {British: lift}						1517
Building:factory.N	no	factory						1562
Building:fireplace.N	yes	An open recess in a wall at the base of a chimney where a fire may be built.	3346455	n	185	7-31		1520
Building:floor.N	yes	The bottom or lower part of any room; the supporting surface of a room.	3365592	n	1632	7-26	Fußboden::N	1512
Building:frame.N	yes	A structural system of support.			2624			
Building:frame.N	yes	frame (structure supporting or surrounding something)						1330
Building:garden-house.N	yes	A small building in a garden, such as a shed, which is not usually build to be inhabitated for long times.			403	7-131		
Building:gate.N	yes	A gate or gateway is a point of entry to a space which is enclosed by walls.			2940		Tor::N	
Building:genkan.N	no	genkan (entrance area of Japanese house where shoes are removed)						1533
Building:grocery store.N	no	grocery store						1581
Building:home.N	no	The place where one lives.			2406		Heim::N	
Building:hotel.N	no	hotel, inn						1565
Building:house.N	yes	The abode of a human being, their place of residence.	3544360	n	1252	7-12	Haus::N	1550
Building:hut.N	yes	A simple roofed shelter, often with one  open side.	3547054	n	1678	7-13		
Building:igloo.N	yes	A snow hut built from snow and serving as a shelter.			2592			
Building:ladder or stairs.N	yes	Construction consisting of steps designed to bridge vertical distances.			2689			
Building:library.N	no	library						1566
Building:living room.N	no	living room						1537
Building:mason.N	yes	A craftsman who builds in stone or brick otherwise known as masonry.	10297531	n	877	7-61		
Building:meeting house.N	no	A building where people meet for a purpose.	3099622	n	335	7-18		
Building:men's house.N	no	A separate building for male persons.			408	7-16		
Building:mill.N	no	mill (place where raw materials are processed)						1563
Building:mortar binder.N	yes	Paste made of a mixture of a binder (cement, plaster or lime), sand and water used in masonry to make bricks, stones, etc. stick together.	14955889	n	1731	7-63		
Building:museum.N	no	museum						1567
Building:oven.N	yes	An enclosed heated compartment usually lined with a refractory material used for baking or drying substances, firing ceramics, heat-treating, etc.	3862676	n	1143	5-25		3495
Building:park.N	no	park (public outdoor area)						1596
Building:porch.N	yes	A structure attached to the exterior of a building, often acting as a roofed entrance; a balcony; a veranda.			3269			1534
Building:post office.N	no	post office						1568
Building:post.N	yes	A strong upright piece of wood, metal etc. that is fixed into the ground, especially to support something.	3976657	n	281	7-56	Stange::N	
Building:prison.N	no	prison						1569
Building:pyramid.N	yes	A structure whose outer surfaces are triangular and converge to a single point at the top.			2600			3529
Building:rafter.N	yes	One of several parallel sloping beams that extend from the ridge to the wall-plate, to support the roof and its associated loads; the sloping top member of a roof truss, which carries the purlins.	4045644	n	829	7-54		
Building:rail.N	no	rail (usually horizontal bar for restraining/supporting things)						1332
Building:restaurant.N	no	restaurant						1572
Building:ridgepole.N	yes	The highest horizontal beam in a roof.	4089152	n	280	7-53		
Building:roof.N	yes	The structure covering a building.	4105068	n	769	7-51	Dach::N	1510
Building:room.N	yes	A separate part of a building, enclosed by walls, a floor and a ceiling.	4105893	n	1450	7-21		1530
Building:school.N	no	school						1570
Building:shed.N	yes	A building for storing agricultural products or sheltering livestock.			3025			
Building:stadium.N	no	stadium						1597
Building:stairs.N	yes	A contiguous set of steps connecting two floors.			34			1516
Building:step.N	yes	A flat surface or support that facilitates the ascent or descent of a stairway or step-ladder.			1158			
Building:store.N	no	store, shop, boutique						1580
Building:tent.N	yes	A portable lodging (usually made from waterproof plastic, animal hide or canvas streched by poles) that is used for sheltering people and objects from the weather when camping or at festivals.	4411264	n	1316	7-14		
Building:thatch or roof.N	yes	The cover of a house or a hut.			2100			
Building:thatch.N	yes	Natural roofing material such as straw, reeds, leaves, etc.	15069712	n	279	7-52		
Building:theater.N	no	theater, theatre						1574
Building:threshold.N	yes	The bottom-most part of a doorway that one crosses to enter; a sill.			1727			
Building:tile.N	yes	The long-lasting material that is manufactured in multiple pieces and used for covering flat surfaces of a building, such as a roof, walls, or floor.			3404	7-99906		
Building:toilet.N	no	toilet, water closet						1362
Building:tower.N	yes	Structure, usually taller than it is wide, often used as a lookout.	4460130	n	1671	20-36		1591
Building:university.N	no	university						1571
Building:wall or barrier.N	yes	A supporting structure for different types of constructions, e.g. houses and huts, or a construction to enclose and separate areas.	4546855	n	3830			
Building:wall.N	yes	The outer structure which encloses a building and supports the roof.			933	7-27		1513
Building:windmill.N	yes	A large structure or building with long revolving blades or sails that is used for converting wind energy in order to produce electricity or to directly power an attached mechanical construction for grinding.			3841			
Building:window.N	yes	An opening, usually covered by one or more panes of clear glass, to allow light from outside to enter a building or vehicle.	4587648	n	1375	7-25	Fenster::N	1514
Building:yard.N	yes	A small, usually uncultivated area adjoining or within the precincts of a house or other building.	3120198	n	736	7-15		
Business:account.N	no	account (record of money received/paid/owed)						1775
Business:available.N	no	available						1740
Business:bill.N	no	bill, invoice (statement of money owed)						1776
Business:borrow.V	no	borrow						1760
Business:business.N	no	business, commerce						1708
Business:buy.V	no	buy, purchase						1750
Business:cheap.A	no	cheap, inexpensive						1756
Business:cheque.N	no	cheque, check (written order directing a bank to pay from an account)						1777
Business:company.N	no	company (a business organization), firm						1709
Business:contract.N	no	contract (agreement-document)						1778
Business:credit.N	no	credit (permission to borrow money)						1765
Business:debt.N	no	debt, obligation to pay						1766
Business:exchange.V	no	exchange, trade, swap						1701
Business:expensive.A	no	expensive, costly						1757
Business:frugal.A	no	frugal, thrifty						1782
Business:generous.A	no	generous, charitable						1783
Business:get.V	no	get, acquire, gain, obtain						1736
Business:give.V	no	give						1734
Business:greedy.A	no	greedy						1784
Business:insurance.N	no	insurance (protective contractual arrangement)						1787
Business:invest.V	no	invest						1790
Business:job.N	no	job, employment						1795
Business:keep.V	no	"keep, retain, go on having (e.g. ""you should keep this book"") "						1731
Business:lend.V	no	lend						1761
Business:lose.V	no	lose (cease having; contra-acquire)						1733
Business:loss.N	no	loss (contra-profit)						1792
Business:merchandise.N	no	merchandise, goods, wares						1706
Business:money.N	no	money						1705
Business:own.V	no	own (possess according to law or custom)						1730
Business:pay.V	no	pay						1752
Business:private.A	no	private (contra-public)						1771
Business:profit.N	no	profit, gain						1791
Business:provide.V	no	provide, supply, furnish						1735
Business:public.A	no	public (available to most or all persons)						1770
